Table Name:,Site and Source Energy
,Total Energy [kBtu],Energy Per Total Building Area [kBtu/ft2],Energy Per Conditioned Building Area [kBtu/ft2]
,Total Energy [kBtu],Energy Per Total Building Area [kBtu/ft2],Energy Per Conditioned Building Area [kBtu/ft2]
Total Site Energy,5784997.71,79.71,119.40
Net Site Energy,5784997.71,79.71,119.40
Total Source Energy,12334887.80,169.95,254.58
Net Source Energy,12334887.80,169.95,254.58
Table Name:,Building Area
,Total Energy [kBtu],Energy Per Total Building Area [kBtu/ft2],Energy Per Conditioned Building Area [kBtu/ft2]
,Total Energy [kBtu],Energy Per Total Building Area [kBtu/ft2],Energy Per Conditioned Building Area [kBtu/ft2]
Total Site Energy,5784997.71,79.71,119.40
Net Site Energy,5784997.71,79.71,119.40
Total Source Energy,12334887.80,169.95,254.58
Net Source Energy,12334887.80,169.95,254.58
